h3,places
892696a8653ffff,57
892696a8603ffff,4
892696a804fffff,2
892696a8397ffff,20
892696a8637ffff,1
892696a8473ffff,1
892696a8083ffff,15
892696ab3dbffff,2
892696ab3d7ffff,1
892696ab053ffff,60
892696ab063ffff,7
892696ab007ffff,1
892696ab167ffff,1
892696ab1cfffff,3
892696ab1d7ffff,5
892696ab0d3ffff,35
892696ab457ffff,1
892696ab473ffff,1
892696ab403ffff,1
892696ab55bffff,4
892696ab50bffff,10
892696ab1afffff,4
892696a84d3ffff,1
892696aa267ffff,2
89269616a27ffff,2
89269616bd3ffff,1
89269616bbbffff,1
89269616863ffff,1
89269616187ffff,5
892696b9323ffff,1
892696b9213ffff,5
892696b928fffff,9
892696b9387ffff,1
8926960653bffff,2
892696ab63bffff,241
892696ab603ffff,36
8926961696fffff,8
892696a9567ffff,1
892696a9573ffff,1
892696a9503ffff,4
892696a810bffff,3
892696141d7ffff,1
89269616a6bffff,2
892696074c3ffff,5
892696074dbffff,1
89269615a43ffff,1
89269607473ffff,1
8926961586fffff,1
89269615ba3ffff,6
89269615b97ffff,2
8926961583bffff,9
89269606653ffff,1
892696066cfffff,1
8926960668bffff,1
89269606687ffff,3
89269615c23ffff,7
89269615c77ffff,1
89269615c57ffff,1
89269614207ffff,2
89269615d8fffff,1
89269614adbffff,4
89269615db7ffff,1
89269615ca3ffff,1
892696143c3ffff,5
89269614157ffff,2
89269614b5bffff,7
89269614a37ffff,5
89269614bcfffff,8
89269614b27ffff,22
89269614b8bffff,3
892696a928bffff,3
892696a904fffff,4
892696a9633ffff,2
892696a96abffff,5
892696a903bffff,11
892696a968fffff,5
892696a945bffff,4
892696149a7ffff,9
89269614aa3ffff,3
89269614cdbffff,3
89269614c2bffff,3
89269614c3bffff,2
89269614c8bffff,5
89269616b6bffff,7
89269614d07ffff,6
89269614dafffff,2
89269614da3ffff,18
892696ab2c7ffff,25
892696ab64bffff,18
892696a9507ffff,4
892696a8253ffff,34
892696a95a7ffff,7
892696ab373ffff,2
892696ab307ffff,9
892696a86cbffff,1
892696a8157ffff,21
892696a80bbffff,3
892696a86afffff,2
892696ab3d3ffff,9
892696ab383ffff,4
892696ab03bffff,7
892696ab17bffff,2
892696ab033ffff,2
892696ab0abffff,5
892696ab12bffff,2
892696ab107ffff,1
892696aa27bffff,1
892696aa053ffff,1
89269616a8bffff,6
8926961697bffff,21
8926961681bffff,1
89269616c67ffff,2
8926961611bffff,1
89269616527ffff,2
892696b9233ffff,27
892696b93d7ffff,1
892696b921bffff,6
892696b92a7ffff,1
892696ab453ffff,1
89269606547ffff,2
89269606593ffff,15
892696ab6bbffff,5
892696ab697ffff,3
892696a919bffff,17
89269614217ffff,2
892696141d3ffff,2
89269614553ffff,1
89269602bb7ffff,2
8926960740fffff,1
89269615b6fffff,1
89269615a77ffff,2
89269615837ffff,1
8926960664fffff,2
892696066c3ffff,2
89269606467ffff,12
