h3,places
851ea017fffffff,332
851ea0a3fffffff,129
851ea4affffffff,461
851ea5d3fffffff,510
851f8b63fffffff,227
851f8b6ffffffff,1576
851f1a57fffffff,479
851f1a1bfffffff,409
851f1e67fffffff,155
851f1eaffffffff,104
851e349bfffffff,1051
851f1bc3fffffff,939
851e34b7fffffff,421
851f1ab7fffffff,226
851f1aa7fffffff,123
851f1bd3fffffff,91
85098daffffffff,30
85098d27fffffff,7
850832d3fffffff,15
850832b7fffffff,388
85098907fffffff,15
85083343fffffff,15
85081683fffffff,2
85081633fffffff,4
850815c3fffffff,73
85081573fffffff,2
85080657fffffff,21
8508066ffffffff,2
85081537fffffff,219
85080503fffffff,1
851f2edbfffffff,210
851f257bfffffff,1
851f2167fffffff,160
851f2e83fffffff,28
851f2ebbfffffff,32
8508b6d7fffffff,138
8508b6c7fffffff,60
851f25bbfffffff,892
85099a6ffffffff,377
8508b487fffffff,36
8508b4a7fffffff,45
8508b68ffffffff,152
8508b46ffffffff,426
8508b08ffffffff,56
8508b0b3fffffff,19
851f2c73fffffff,76
851f2893fffffff,94
851f2ca7fffffff,35
851f2827fffffff,27
851f2dd7fffffff,31
8508b213fffffff,18
8508b07bfffffff,111
85089d7bfffffff,38
85089d73fffffff,40
85089d77fffffff,72
85089827fffffff,9
85089b8bfffffff,11
85089973fffffff,619
8511245bfffffff,214
8511359bfffffff,41
85113437fffffff,57
8511342ffffffff,11
8511355bfffffff,6
851135c7fffffff,16
8511260bfffffff,56
85112623fffffff,26
85112053fffffff,59
8511205bfffffff,471
851120d7fffffff,46
8511254bfffffff,53
8511206bfffffff,19
85112393fffffff,26
8511142bfffffff,1
8511109bfffffff,5
8511131bfffffff,1
85113153fffffff,1
85110457fffffff,1
8565019bfffffff,430
8565054ffffffff,648
85650543fffffff,207
856504a7fffffff,731
85650407fffffff,2
8565040ffffffff,36
856500b3fffffff,11
85650007fffffff,14
856504c7fffffff,111
85650613fffffff,18
8564ae13fffffff,3
85414143fffffff,856
854143c3fffffff,1920
8541430ffffffff,168
8541430bfffffff,1859
85415dd7fffffff,741
852e6023fffffff,343
852e6573fffffff,138
852e654bfffffff,1985
852e6013fffffff,2537
852e6003fffffff,1066
85289957fffffff,9
8528997bfffffff,7
8528834bfffffff,3
85289cabfffffff,3
8512c897fffffff,1
8528da77fffffff,3
85128b27fffffff,2
8512882ffffffff,3
8512890ffffffff,3
85128907fffffff,1
85128923fffffff,2
8512d47bfffffff,2
85128953fffffff,5
8512f25bfffffff,1
8512d537fffffff,4
8512c24ffffffff,2
8512d5b3fffffff,3
8512d597fffffff,1
8512f057fffffff,3
8512f03bfffffff,2
8512f14ffffffff,10
8512f123fffffff,3
8512f1c3fffffff,4
8512ad77fffffff,1
85121a77fffffff,56
85121a83fffffff,1
85121a97fffffff,1
8512f013fffffff,1
8512f427fffffff,4
85121ab7fffffff,317
8512185bfffffff,39
8512c237fffffff,2
8512c2a7fffffff,3
8512c3c7fffffff,7
8512c013fffffff,16
8512c08bfffffff,4
8512c15bfffffff,4
8512c027fffffff,8
8512c173fffffff,18
858ada8bfffffff,2
858adaa7fffffff,1
858adb07fffffff,1
855f74b3fffffff,1
855f2d33fffffff,3
855f2997fffffff,51
855f2d47fffffff,3
855f2d7bfffffff,1
855f29d3fffffff,2
855f2907fffffff,19
855f290bfffffff,2
855f296ffffffff,2
855f2adbfffffff,1
855f056bfffffff,1
855f0d83fffffff,2
855f6d53fffffff,1
855f4a67fffffff,2
855f7067fffffff,1
855f73d3fffffff,1
855f7277fffffff,2
855f7273fffffff,1
855f73c7fffffff,1
855f730bfffffff,1
855f546bfffffff,3
855f556bfffffff,2
855f0917fffffff,1
855f090ffffffff,2
855f0967fffffff,14
855f0b97fffffff,9
85806a2bfffffff,5
85806a6ffffffff,1
85804cc3fffffff,7
85804c57fffffff,6
855f02b3fffffff,1
855f15c3fffffff,1
855f03dbfffffff,1
855f035bfffffff,6
855f1cabfffffff,4
855f112bfffffff,1
855f117bfffffff,1
855f1ed7fffffff,1
855f10d7fffffff,2
85552177fffffff,1
85552157fffffff,1
855526b7fffffff,1
8538b69bfffffff,2
8538b0dbfffffff,1
8538b393fffffff,1
85399a0ffffffff,1
8538821bfffffff,1
8538988ffffffff,1
85389d1bfffffff,1
85388217fffffff,1
853880c3fffffff,1
8538b133fffffff,1
8538854ffffffff,1
853883bbfffffff,1
8538882bfffffff,1
853888d3fffffff,1
85388d13fffffff,3
853993c7fffffff,4
8539938bfffffff,11
85399313fffffff,3
85399143fffffff,33
85399e47fffffff,1
8539912bfffffff,7
85398217fffffff,10
85398227fffffff,10
85399a8ffffffff,1
85399847fffffff,1
85399803fffffff,2
8539980ffffffff,2
85399823fffffff,1
8538a6d3fffffff,2
8539996ffffffff,1
85399d0bfffffff,4
85399cb7fffffff,4
85399dabfffffff,7
8539998ffffffff,2
853999affffffff,1
85398a47fffffff,2
85398a83fffffff,9
85398613fffffff,1
8539828ffffffff,15
8539804ffffffff,4
8538a48ffffffff,2
85398b77fffffff,2
8538a593fffffff,2
8538a503fffffff,1
8538ad5bfffffff,5
85398b17fffffff,1
85398bb3fffffff,6
8538169bfffffff,45
85398d6bfffffff,27
853989d7fffffff,9
8539890bfffffff,3
853989bbfffffff,18
853989a3fffffff,6
85381683fffffff,3
853810dbfffffff,2
85398937fffffff,11
853814c3fffffff,3
85398d73fffffff,5
85398d03fffffff,4
85398d27fffffff,10
85383247fffffff,1
85383257fffffff,10
8538366bfffffff,10
85383663fffffff,21
8538328bfffffff,15
8538328ffffffff,7
853832bbfffffff,8
853814d7fffffff,1
85381493fffffff,2
8538320ffffffff,1
8538334ffffffff,1
85383343fffffff,2
853832b3fffffff,8
85383047fffffff,12
85383383fffffff,3
85381147fffffff,2
85381573fffffff,1
8538024bfffffff,1
853815a7fffffff,2
8538066ffffffff,1
85380203fffffff,5
853802b3fffffff,2
853803c3fffffff,8
853800dbfffffff,3
853800c3fffffff,2
85355c27fffffff,1
85356887fffffff,9
8539364bfffffff,1
85393643fffffff,2
85393647fffffff,3
853528cbfffffff,1
8539345bfffffff,1
8518c1b7fffffff,2
8539a04ffffffff,1
8539ac4bfffffff,4
8539ac5bfffffff,5
8539a56ffffffff,2
8539164bfffffff,1
8539a183fffffff,2
85391273fffffff,3
8539aa97fffffff,3
8568d367fffffff,2
8568de7bfffffff,1
8568d867fffffff,20
8568db93fffffff,11
8568dec7fffffff,1
85942c33fffffff,1
85942c27fffffff,1
85942d77fffffff,2
85942183fffffff,35
859421b3fffffff,24
859421a3fffffff,6
859421a7fffffff,2
8595526bfffffff,3
85955373fffffff,3
859550dbfffffff,1
85946043fffffff,1
85729053fffffff,469
857290cbfffffff,29
85956e93fffffff,1
85729687fffffff,2
8572b30bfffffff,1
8572b3abfffffff,1
857286c7fffffff,1
8572b0b3fffffff,4
85b936d3fffffff,11
85be6b37fffffff,2
85be4db3fffffff,99
85be4d97fffffff,2
85b91513fffffff,4
85b91133fffffff,50
85b91127fffffff,3
85529b73fffffff,2
85529abbfffffff,1
85529e13fffffff,1
