h3,_max,_min,_avg
8729a3823ffffff,904,904,904.0
8729a1682ffffff,869,869,869.0
8729a3b14ffffff,878,878,878.0
8729a06daffffff,1590,1590,1590.0
8729a3dacffffff,1863,1863,1863.0
8729a311cffffff,764,764,764.0
8729a0436ffffff,785,785,785.0
8729a0495ffffff,1434,1434,1434.0
8729a20e2ffffff,700,700,700.0
8729a22d3ffffff,1073,1073,1073.0
8729b1a06ffffff,1402,1402,1402.0
8729b1a1dffffff,1884,1704,1794.0
8729aec35ffffff,1533,1533,1533.0
8729a3354ffffff,1309,1309,1309.0
8729ae423ffffff,2199,2199,2199.0
8729a3718ffffff,1623,1623,1623.0
8729ae4e8ffffff,2427,2427,2427.0
872985ba4ffffff,1791,1791,1791.0
872985165ffffff,2540,2540,2540.0
872985452ffffff,287,246,266.5
872984159ffffff,366,295,320.3333333333333
87298404bffffff,819,819,819.0
8729849b1ffffff,510,510,510.0
872984c71ffffff,1364,1364,1364.0
8729840a1ffffff,2235,2235,2235.0
872984411ffffff,1565,1565,1565.0
87298476affffff,1943,1943,1943.0
8729b5772ffffff,1038,1038,1038.0
8729b0b34ffffff,415,415,415.0
8729b0308ffffff,887,887,887.0
8729b4652ffffff,869,869,869.0
8729b6aabffffff,842,842,842.0
8729b6071ffffff,1271,1271,1271.0
8729b0d83ffffff,1076,1076,1076.0
8729b0cd2ffffff,1161,1161,1161.0
8729b6314ffffff,1259,1259,1259.0
8729b045affffff,1432,1432,1432.0
8729b060bffffff,1788,1788,1788.0
8729b0494ffffff,1748,1748,1748.0
8729b2971ffffff,1631,1631,1631.0
8729b2b20ffffff,2154,2154,2154.0
8729b2b1cffffff,2118,2118,2118.0
8729b2869ffffff,1820,1820,1820.0
8729b14d2ffffff,1252,1252,1252.0
8729b16a0ffffff,1660,1660,1660.0
87298680bffffff,1322,1322,1322.0
872986c34ffffff,974,974,974.0
8729b326affffff,754,754,754.0
872986530ffffff,1601,1601,1601.0
8729864e8ffffff,577,577,577.0
87298649bffffff,1232,1232,1232.0
8729b2220ffffff,1832,1832,1832.0
8729b3630ffffff,1685,1685,1685.0
872994a60ffffff,1554,1554,1554.0
872995d32ffffff,2308,2308,2308.0
872994ac9ffffff,1966,1896,1931.0
8729aa794ffffff,2875,2875,2875.0
87298564affffff,629,629,629.0
872981a62ffffff,2384,2384,2384.0
872981ae9ffffff,1996,1996,1996.0
87298cd1affffff,3082,3082,3082.0
87298126dffffff,2880,2880,2880.0
87298c416ffffff,2070,2070,2070.0
872981506ffffff,2111,2111,2111.0
8729814c3ffffff,2295,2295,2295.0
872980a0cffffff,1112,1112,1112.0
8729800f5ffffff,1366,1366,1366.0
872983964ffffff,1658,1658,1658.0
872981819ffffff,841,649,745.0
872982a0effffff,2412,2412,2412.0
872983572ffffff,2724,2724,2724.0
87298e99dffffff,1848,1848,1848.0
87298e082ffffff,2179,2179,2179.0
87298e3abffffff,2869,2869,2869.0
872988433ffffff,1654,1654,1654.0
8729884f1ffffff,1893,1893,1893.0
87298ac66ffffff,3498,3498,3498.0
87299d876ffffff,2989,2989,2989.0
87298308bffffff,2022,2022,2022.0
87299d041ffffff,2977,2977,2977.0
87299d0a4ffffff,2672,2672,2672.0
87299d4f5ffffff,2857,2857,2857.0
872986206ffffff,2193,2193,2193.0
872982894ffffff,1529,1529,1529.0
872995a29ffffff,551,551,551.0
872982c8bffffff,1604,1604,1604.0
872995ac2ffffff,806,806,806.0
87299526affffff,1646,1646,1646.0
87299194cffffff,2240,2240,2240.0
872995382ffffff,1096,1096,1096.0
872995cabffffff,1673,1673,1673.0
8729954ccffffff,2049,2049,2049.0
872990b6affffff,1770,1770,1770.0
872990b02ffffff,1545,1545,1545.0
87299085dffffff,1823,1823,1823.0
872991928ffffff,2079,2079,2079.0
872991825ffffff,2091,2091,2091.0
872995609ffffff,2525,2525,2525.0
872990a6bffffff,2266,2266,2266.0
872990b53ffffff,2108,1978,2059.6666666666665
872990a44ffffff,2302,2302,2302.0
872991d90ffffff,3159,3159,3159.0
872990363ffffff,2935,2935,2935.0
872990330ffffff,2564,2564,2564.0
87299026cffffff,2247,2247,2247.0
87299392cffffff,2905,2905,2905.0
87299cb81ffffff,1812,1812,1812.0
872991af5ffffff,2677,2632,2654.5
87299c3a4ffffff,2724,2724,2724.0
87299c399ffffff,2030,2030,2030.0
87299104cffffff,2615,2615,2615.0
872991206ffffff,2973,2973,2973.0
87299165cffffff,1974,1974,1974.0
872991466ffffff,2060,2060,2060.0
872991409ffffff,1984,1984,1984.0
872991483ffffff,2411,2411,2411.0
87299e0caffffff,1527,1527,1527.0
87299e0d8ffffff,1356,1356,1356.0
87299e705ffffff,2538,2538,2538.0
872806c68ffffff,547,547,547.0
8728063b6ffffff,831,831,831.0
872806013ffffff,591,591,591.0
872806722ffffff,912,912,912.0
872806c9effffff,1479,1479,1479.0
872833224ffffff,904,904,904.0
872815862ffffff,1051,967,1009.0
87281584effffff,1040,1040,1040.0
8728066ecffffff,1503,1503,1503.0
8728029b0ffffff,1712,1712,1712.0
872802889ffffff,1203,1203,1203.0
872802c63ffffff,1428,1428,1428.0
87280211cffffff,1245,1245,1245.0
87280218dffffff,1489,1489,1489.0
872802184ffffff,1323,1323,1323.0
872815b74ffffff,1965,1965,1965.0
872802db6ffffff,1443,1443,1443.0
872815231ffffff,1882,1882,1882.0
872815213ffffff,906,906,906.0
8728330d3ffffff,36,36,36.0
872814946ffffff,496,496,496.0
872814971ffffff,471,471,471.0
872814862ffffff,717,717,717.0
872814badffffff,557,557,557.0
872814841ffffff,432,432,432.0
8728148c8ffffff,1255,1255,1255.0
872814d68ffffff,1221,1221,1221.0
87281489bffffff,1757,1757,1757.0
872814ad6ffffff,1761,1761,1761.0
872814068ffffff,1838,1838,1838.0
87281404dffffff,1945,1945,1945.0
872814188ffffff,2106,2091,2098.5
872815464ffffff,790,790,790.0
872815452ffffff,1028,1028,1028.0
872814345ffffff,1338,1338,1338.0
87281431bffffff,2182,2182,2182.0
87281424affffff,2022,2022,2022.0
8728142c3ffffff,1821,1821,1821.0
872810934ffffff,1910,1910,1910.0
872815593ffffff,2814,2814,2814.0
87281096effffff,2694,2664,2679.0
872810969ffffff,2626,2626,2626.0
872815495ffffff,1951,1850,1900.5
87281094effffff,2281,2281,2281.0
872810900ffffff,2344,2344,2344.0
872810826ffffff,2306,2306,2306.0
87281098bffffff,2282,2282,2282.0
8728020e8ffffff,1198,1198,1198.0
872802780ffffff,2093,2093,2093.0
87281c914ffffff,1325,1325,1325.0
87281c995ffffff,1347,1347,1347.0
87281c9b6ffffff,957,957,957.0
8728026dbffffff,1175,1175,1175.0
872802492ffffff,2315,2315,2315.0
8728152deffffff,1241,1241,1241.0
87281094cffffff,2452,2452,2452.0
87281c128ffffff,1747,1747,1747.0
87281c0d8ffffff,767,767,767.0
87281c721ffffff,1556,1556,1556.0
87281c710ffffff,1588,1588,1588.0
87281c54cffffff,1502,1502,1502.0
87281c474ffffff,1693,1693,1693.0
87281c4eaffffff,1240,1240,1240.0
87281c4c4ffffff,1336,1336,1336.0
87281c48dffffff,1549,1549,1549.0
872811744ffffff,891,891,891.0
87281c4b0ffffff,2017,2017,2017.0
87281e970ffffff,1668,1668,1668.0
87281c48cffffff,1506,1506,1506.0
87281e832ffffff,1605,1605,1605.0
87281e8f6ffffff,1578,1578,1578.0
8728156c4ffffff,1399,1319,1359.0
8728156a1ffffff,746,746,746.0
872811d65ffffff,1367,1367,1367.0
872811d52ffffff,1533,1503,1518.0
8728156b1ffffff,1033,1033,1033.0
872811d11ffffff,1063,1063,1063.0
87281026effffff,1766,1766,1766.0
8728115a8ffffff,1748,1748,1748.0
872810babffffff,1623,1418,1488.0
87281016bffffff,1694,1694,1694.0
872810074ffffff,1440,1440,1440.0
872810703ffffff,1512,1512,1512.0
872811704ffffff,2087,2087,2087.0
8728117b5ffffff,1872,1872,1872.0
87281159bffffff,1956,1956,1956.0
8728114ceffffff,1816,1816,1816.0
87281161effffff,2103,2103,2103.0
87281ed05ffffff,1340,1340,1340.0
87281ed32ffffff,1594,1594,1594.0
872813960ffffff,1838,1838,1838.0
872813983ffffff,1475,1475,1475.0
8728138d4ffffff,1580,1580,1580.0
8728133a6ffffff,1328,1328,1328.0
872814d34ffffff,2283,2283,2283.0
872814d0dffffff,1558,1558,1558.0
872814d43ffffff,1401,1401,1401.0
872989a0affffff,2749,2749,2749.0
872814c5effffff,2105,2105,2105.0
872989255ffffff,1643,1643,1643.0
8729892edffffff,2181,2181,2181.0
872989231ffffff,2454,2454,2454.0
872816934ffffff,1844,1844,1844.0
87298974cffffff,2192,2192,2192.0
872989746ffffff,1810,1810,1810.0
87281461affffff,1966,1966,1966.0
87281479bffffff,2334,2334,2334.0
872814495ffffff,2185,2185,2185.0
872816a69ffffff,1986,1986,1986.0
87281631dffffff,2297,2297,2297.0
872816231ffffff,2417,2417,2417.0
87298bb2bffffff,2175,2175,2175.0
87298bd05ffffff,2660,2660,2660.0
8728164b5ffffff,1990,1990,1990.0
87298b454ffffff,2464,2464,2464.0
87298b458ffffff,1893,1893,1893.0
87298b28effffff,1895,1895,1895.0
8728a5931ffffff,2080,2080,2080.0
87298b695ffffff,2993,2993,2993.0
87281019effffff,1810,1810,1810.0
872816276ffffff,1746,1746,1746.0
872816754ffffff,1727,1727,1727.0
872812324ffffff,2253,2253,2253.0
8728122d8ffffff,2289,2289,2289.0
872816681ffffff,2327,2327,2327.0
8728a5a43ffffff,2194,2136,2156.0
8728a520cffffff,2342,2342,2342.0
8728126b6ffffff,1961,1961,1961.0
8728a1b02ffffff,1987,1987,1987.0
8728a5695ffffff,1447,1447,1447.0
8728a1d29ffffff,2047,2047,2047.0
8728a1c54ffffff,2282,2282,2282.0
87281c673ffffff,1223,1223,1223.0
87281c6f0ffffff,917,917,917.0
87281c6a0ffffff,1578,1578,1578.0
87281eb74ffffff,1411,1411,1411.0
872818c43ffffff,1105,1105,1105.0
872818c0bffffff,894,894,894.0
8728181b6ffffff,1067,1067,1067.0
872818ca9ffffff,1147,1147,1147.0
87281e26dffffff,1552,1552,1552.0
87281e248ffffff,765,765,765.0
87281eae0ffffff,632,632,632.0
87281eaf0ffffff,625,625,625.0
87281e888ffffff,1846,1840,1843.0
87281e103ffffff,782,782,782.0
87281e020ffffff,1602,1602,1602.0
87281e209ffffff,1418,1418,1418.0
87281e212ffffff,1111,1111,1111.0
87281e2aeffffff,1004,1004,1004.0
87281e38affffff,926,926,926.0
87281bc35ffffff,554,554,554.0
87281ab68ffffff,504,504,504.0
87281ab45ffffff,425,425,425.0
87281bd86ffffff,461,461,461.0
87281a80dffffff,1522,1478,1500.0
87281a81dffffff,1661,1661,1661.0
87281a8a8ffffff,1579,1579,1579.0
87281ab9cffffff,1282,1282,1282.0
87281a323ffffff,917,917,917.0
87281a060ffffff,1286,1286,1286.0
87281a8d8ffffff,1134,1134,1134.0
87281a105ffffff,1673,1673,1673.0
87281e1a2ffffff,2228,2228,2228.0
87281adadffffff,2799,2799,2799.0
87281e46dffffff,2171,2171,2171.0
87281e71affffff,2077,1968,2022.5
87281e611ffffff,1913,1913,1913.0
