h3,road_complexity
8844dc963dfffff,8
8844dc9707fffff,1
8844c22995fffff,1
8844dc934bfffff,5
8844dc9307fffff,5
8844dc9235fffff,2
8844dc9237fffff,1
8844c264b9fffff,4
8844c264e1fffff,25
8844c265ddfffff,14
8844c264a9fffff,5
8844dc9147fffff,2
8844dc9a61fffff,6
8844dc90e1fffff,1
8844dc90e5fffff,1
8844dc9029fffff,1
8844dc9035fffff,1
8844dc8359fffff,1
8844dc9a85fffff,1
8844dc98d5fffff,5
8844dc988bfffff,4
8844c27525fffff,10
8844c262e9fffff,5
8844c262ebfffff,11
8844c262e1fffff,11
8844c2623bfffff,4
8844c26237fffff,9
8844c26281fffff,1
8844c262a1fffff,4
8844c26061fffff,1
8844c26169fffff,1
8844c26037fffff,2
8844c261d7fffff,10
8844c261c7fffff,6
8844c26123fffff,8
8844c2672bfffff,121
8844c26549fffff,4
8844c26097fffff,7
8844c26ecdfffff,8
8844c26535fffff,8
8844c26e09fffff,29
8844c26e6bfffff,4
8844c26f35fffff,69
8844c26c61fffff,138
8844c26d59fffff,143
8844c26a0dfffff,29
8844c26a19fffff,36
8844c26a1bfffff,7
8844c26ac9fffff,4
8844c26a8dfffff,30
8844c26aadfffff,19
8844c26aa5fffff,28
8844c26843fffff,5
8844c26851fffff,13
8844c2681bfffff,20
8844c26b0dfffff,23
8844c26b57fffff,4
8844c26b01fffff,30
8844c26aa3fffff,19
8844c268c1fffff,18
8844c26999fffff,1
8844c26981fffff,1
8844d1a6cbfffff,9
8844dcd205fffff,7
8844dcd31dfffff,2
8844c265e7fffff,3
8844c265a1fffff,6
